Class_Name,Accuracy
Ringed_Kingfisher,0.06666666666666667
Slaty_backed_Gull,0.05
Cardinal,0.0
Bronzed_Cowbird,0.0
Long_tailed_Jaeger,0.0
Florida_Jay,0.0
Green_Kingfisher,0.0
White_breasted_Kingfisher,0.0
Orchard_Oriole,0.0
Whip_poor_Will,0.0
Baird_Sparrow,0.0
Brewer_Sparrow,0.0
Henslow_Sparrow,0.0
Le_Conte_Sparrow,0.0
Nelson_Sharp_tailed_Sparrow,0.0
Savannah_Sparrow,0.0
Artic_Tern,0.0
Forsters_Tern,0.0
Yellow_Warbler,0.0
