Class_Name,Accuracy
Eared_Grebe,0.6666666666666666
Yellow_bellied_Flycatcher,0.5517241379310345
Least_Flycatcher,0.5172413793103449
California_Gull,0.43333333333333335
Tree_Sparrow,0.4
Sooty_Albatross,0.35714285714285715
Rhinoceros_Auklet,0.2777777777777778
Parakeet_Auklet,0.13043478260869565
Bank_Swallow,0.06666666666666667
Nelson_Sharp_tailed_Sparrow,0.03333333333333333
Forsters_Tern,0.03333333333333333
Chuck_will_Widow,0.0
Whip_poor_Will,0.0
